ID,target
0,1
1,0
2,1
3,2
4,0
5,0
6,2
7,0
8,2
9,0
10,2
11,1
12,2
13,0
14,1
15,2
16,0
17,2
18,2
19,2
20,0
21,0
22,2
23,2
24,0
25,0
26,2
27,1
28,1
29,1
30,2
31,0
32,2
33,2
34,2
35,0
36,2
37,0
38,0
39,0
40,2
41,2
42,2
43,0
44,1
45,2
46,1
47,0
48,2
49,1
50,2
51,0
52,2
53,0
54,0
55,2
56,0
57,1
58,2
59,0
60,2
61,1
62,1
63,2
64,2
65,1
66,2
67,1
68,0
69,2
70,1
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,0
81,1
82,2
83,2
84,0
85,2
86,0
87,1
88,0
89,2
90,2
91,2
92,2
93,0
94,2
95,0
96,0
97,2
98,0
99,0
100,0
101,0
102,2
103,1
104,2
105,2
106,1
107,0
108,1
109,2
110,2
111,0
112,2
113,1
114,0
115,1
116,2
117,0
118,0
119,1
